Designator,Mid X,Mid Y,Rotation,Layer
D1,52.705,19.685,270.0,top
J1,12.065,12.7,90.0,top
J2,9.525,41.275,0.0,top
J3,60.365,24.725,90.0,top
J4,33.615,3.175,180.0,top
J5,21.63,3.175,0.0,top
Q1,43.0,19.0,0.0,top
R1,36.195,14.605,0.0,top
R2,36.195,10.795,0.0,top
R3,41.91,27.305,180.0,top
R4,41.91,32.385,180.0,top
SW1,27.305,24.765,0.0,top
SW2,27.305,29.845,0.0,top
SW3,27.305,19.685,0.0,top
U1,10.795,24.765,90.0,top
U2,55.245,43.175,180.0,top
